time,result,reference
00:00:092-00:03:109,"人工智能正在深刻改变我们的世界。","人工智能正在深刻改变我们的世界。"
00:03:636-00:06:310,"从语音识别到自然语言处理，","从语音识别到自然语言处理，"
00:06:816-00:09:513,"从计算机视觉到机器人技术，","从计算机视觉到机器人技术，"
00:10:243-00:13:398,"AI的应用已经渗透到生活的方方面面。","AI的应用已经渗透到生活的方方面面。"
00:14:380-00:15:413,"在医疗领域，","在医疗领域，"
00:15:822-00:17:832,"AI可以辅助诊断疾病、","AI可以辅助诊断疾病、"
00:18:188-00:19:196,"发现新药物。","发现新药物。"
00:20:086-00:21:161,"在教育领域，","在教育领域，"
00:21:713-00:24:370,"AI可以提供个性化的学习方案。","AI可以提供个性化的学习方案。"
00:26:165-00:26:315,"在交通领域，","在交通领域，"
00:28:296-00:31:041,"自动驾驶技术正在逐步成熟。","自动驾驶技术正在逐步成熟。"
00:31:821-00:32:253,"未来，","未来，"
00:32:998-00:36:207,"人工自能将继续推动社会进步，","人工智能将继续推动社会进步，"
00:36:657-00:37:279,"为人类","为人类创造更多的可能性。"
00:37:742-00:40:223,"容工智能将再继续推动。",""
